Species	Status
Acer_indivisum	extinct
Acer_newberryi	extant
Acer_silberlingi	extant
Ailanthipites_marginatus_cf.	extant
Ailanthipites_mulleri	extant
Ailanthipites_paenestriatus	extant
Ailanthipites_sp.	extant
Ailanthipites_sp._A_informal	extinct
Albertipollenites_?_perforatus	extant
Albertipollenites_anguloluminosus	extinct
Araliaceoipollenites_?_sp.	extinct
Araliaceoipollenites_euphorii	extant
Araliaceoipollenites_matanamadhensis_n._sp.	extant
Araliaceoipollenites_potoniaei_n._sp.	extinct
Araliaceoipollenites_psilatus_n._sp.	extinct
Araliaceoipollenites_reticulatus_n._sp.	extant
Araliaceoipollenites_reticuloides	extinct
Araliaceoipollenites_sp.	extant
Baculamonocolpites_hammenii_n._sp.	extinct
Baculamonocolpites_sp.	extinct
Basopollis_obscurocostatus	extant
Basopollis_sp.	extant
Brevitricolpites_macroexinatus_n._sp.	extant
Brevitricolpites_microechinatus_n._sp.	extinct
Brevitricolpites_sp.	extant
Brevitricolpites_variabilis	extinct
Callistopollenites_radiostriatus	extinct
Callistopollenites_sp.	extant
Caloda_n._gen._delevoryana_n._sp.	extinct
Carpestella_n._gen._lacunata_n._sp.	extant
Catinipollis_geiseltalensis	extinct
Celastrophyllum_acutidens	extinct
Celastrophyllum_acutidens_?	extinct
Celastrophyllum_carolinensis	extinct
Celastrophyllum_cf._sp.	extant
Celastrophyllum_crenatum	extant
Celastrophyllum_elegans	extant
Celastrophyllum_gyminaefolium	extant
Celastrophyllum_perryi	extant
Celastrophyllum_pulchrum_n._sp.	extant
Celastrophyllum_subprotophyllum	extant
Clavatricolpites_densiclavatus	extant
Clavatricolpites_densiclavatus_n._sp.	extant
Clavatricolpites_gracilis	extinct
Clavatricolpites_sp._1_informal	extinct
Colombipollis_tropicalis	extinct
Cupanoides_corrugatus_n._sp.	extant
Cupanoides_depressus_n._sp.	extant
Cupanoides_grandis	extant
Cupanoides_grandis_n._sp.	extinct
Cupanoides_inflatus_n._sp.	extant
Cupanoides_n._gen._lobatus_n._sp.	extinct
Cupanoides_peruvianus	extant
Cupanoides_pygmaeus_n._sp.	extant
Cupanoides_subangulatus_n._sp.	extant
Cupanoides_tumidus	extant
Cupanoides_tumidus_n._sp.	extant
Curvimonocolpites_inornatus	extant
Dicotetradites_clavatus	extinct
Dicotetradites_meridianus	extinct
